id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,xA/90,npxG/90,npxGxA/90
3759,Francois Clerc,10,872,0,0.10124590899795294,1,0.8178430832922459,4,5,0,0,D M,Saint-Etienne,0,0.10124590899795294,2.183523204177618,1.9536411296576262,15/16,0.08441040997282355,0.010449692442449272,0.09486010241527282
3762,Yaw Yeboah,3,102,0,0,0,0.08275648951530457,0,2,0,0,F S,Lille,0,0,0.0865044891834259,0.05944620072841644,15/16,0.07302043192526873,0.0,0.07302043192526873
3766,Kevin Soni,2,89,0,0.01881401240825653,0,0,1,0,0,0,M S,Bordeaux,0,0.01881401240825653,0.01881401240825653,0,15/16,0.0,0.019025405806102107,0.019025405806102107
3767,Ilias Hassani,1,15,0,0,0,0,0,0,0,0,S,Bordeaux,0,0,0,0,15/16,0.0,0.0,0.0
3770,Quentin Cornette,5,142,0,0.212063979357481,0,0.03916044905781746,4,1,1,0,M S,Montpellier,0,0.212063979357481,0.10495207738131285,0.014666038565337658,15/16,0.024820002923968812,0.1344067474800936,0.15922675040406242
3771,Julien Begue,3,38,0,0.6229464411735535,1,0.8760920166969299,2,1,1,0,S,Guingamp,0,0.6229464411735535,0.06911798566579819,0.042161762714385986,15/16,2.074954776387466,1.4753994659373635,3.550354242324829
3773,Nolan Mbemba,1,67,0,0,0,0,0,0,0,0,M,Lille,0,0,0.045399803668260574,0.045399803668260574,15/16,0.0,0.0,0.0
3774,Alexis Araujo,1,2,0,0,0,0.03144226595759392,0,1,0,0,S,Lille,0,0,0.03144226595759392,0,15/16,1.4149019680917263,0.0,1.4149019680917263
3776,Diego Gomez,1,23,0,0.017134586349129677,0,0,1,0,0,0,S,Angers,0,0.017134586349129677,0.017134586349129677,0,15/16,0.0,0.0670483813661596,0.0670483813661596
3778,Albert Rafetraniaina,1,1,0,0,0,0,0,0,1,0,S,Nice,0,0,0,0,15/16,0.0,0.0,0.0
3783,Youssef Benali,1,12,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0,0,15/16,0.0,0.0,0.0
3787,Mouhamadou Habib Habibou,1,5,0,0,0,0,0,0,0,0,S,Rennes,0,0,0,0,15/16,0.0,0.0,0.0
3791,Ryan Mendes,3,84,0,0.012153112329542637,0,0.07248573005199432,1,1,0,0,S,Lille,0,0.012153112329542637,0.08463884238153696,0,15/16,0.07766328219856534,0.013021191781652825,0.09068447398021817
3799,Wesley Said,1,8,0,0,0,0.08666586875915527,0,1,0,0,S,Rennes,0,0,0.10448365658521652,0.01781778782606125,15/16,0.9749910235404968,0.0,0.9749910235404968
3800,Steve Mounie,2,35,0,0,0,0.012811629101634026,0,1,0,0,S,Montpellier,0,0,0.04054585471749306,0.04054585471749306,15/16,0.032944189118487496,0.0,0.032944189118487496
3804,Olivier Veigneau,2,169,0,0,0,0.0728784054517746,0,2,0,0,D,Nantes,0,0,0.1667182743549347,0.13643355667591095,15/16,0.03881098515183263,0.0,0.03881098515183263
3805,Simon Pouplin,1,36,0,0,0,0,0,0,0,0,GK,Nice,0,0,0,0,15/16,0.0,0.0,0.0
3809,Grégory Sertic,1,24,0,0,0,0,0,0,0,0,D,Bordeaux,0,0,0,0,15/16,0.0,0.0,0.0
6434,Franck Zambo,9,279,0,0.2367862518876791,0,0.11994878202676773,4,2,0,0,M S,Marseille,0,0.2367862518876791,1.3840371072292328,1.0486250147223473,15/16,0.03869315549250572,0.07638266189925132,0.11507581739175704
3294,Edinson Cavani,36,2983,35,36.86662236601114,4,2.200447032228112,143,25,5,0,F S,Paris Saint Germain,28,30.785861127078533,30.913603503257036,2.781269960105419,16/17,0.06638961880674828,0.9288392562645216,0.9952288750712699
3277,Alexandre Lacazette,30,2416,28,22.4740299731493,3,6.6583012919873,85,50,3,0,F S,Lyon,18,13.352954130619764,23.215869300067425,7.629051983356476,16/17,0.24803274680416265,0.4974196489055376,0.7454523957097002
696,Falcao,29,1969,21,14.863334177061915,5,2.8996161138638854,80,23,2,0,F S,Monaco,17,11.822953699156642,15.487083720043302,3.574448681436479,16/17,0.13253704938941072,0.5404092599919237,0.6729463093813344
717,Bafétimbi Gomis,31,2613,20,18.49983399733901,3,2.7958377059549093,91,25,6,0,F S,Marseille,17,16.21954871341586,17.55814576242119,2.676425768993795,16/17,0.09629750996400376,0.5586526537341858,0.6549501636981896
942,Florian Thauvin,38,2991,15,9.62995433434844,8,8.574127512983978,95,61,2,0,F M S,Marseille,14,8.86985919252038,22.089281607419252,10.391087923198938,16/17,0.2579978188460575,0.26689646517112475,0.5248942840171822
1817,Mario Balotelli,23,1748,15,11.925682320259511,1,0.9889696314930916,75,10,5,3,F S,Nice,12,8.885367549024522,8.885693547315896,2.2789254896342754,16/17,0.050919489035685495,0.4574845992060681,0.5084040882417535
3423,Kylian Mbappe-Lottin,29,1503,15,8.283359387889504,8,6.225766263902187,53,31,2,0,F M S,Monaco,15,8.283359387889504,15.442725446075201,2.34098407253623,16/17,0.37280037508396335,0.49600954418500026,0.8688099192689636
5701,Ivan Santini,34,2905,15,12.709913095459342,2,3.07800305262208,71,25,7,0,F,Caen,12,9.66953250579536,14.473920220509171,3.3144442215561867,16/17,0.09535981918622623,0.29957243563565655,0.39493225482188277
3244,Nicolas de Preville,30,2077,14,9.620092824101448,1,3.2830596324056387,63,37,2,0,F M S,Lille,9,5.819617157801986,10.808664852753282,3.8914640713483095,16/17,0.14226064849133724,0.2521740703910345,0.39443471888237175
3800,Steve Mounie,35,2839,14,11.624608032405376,3,2.882874841801822,105,24,4,1,F S,Montpellier,14,11.624608032405376,13.82778713107109,2.9643518766388297,16/17,0.09139088966613737,0.3685152246975991,0.4599061143637365
3570,Benjamin Moukandjo,25,2017,13,10.198661433532834,1,3.6729718782007694,48,27,1,0,F M S,Lorient,10,7.918376067653298,12.508198708295822,1.8973931036889553,16/17,0.1638906638760879,0.353323671833811,0.5172143357098989
